method,n_clusters_ex_noise,noise_rate,silhouette,nmi,ari,purity,cluster_positive_rate_max
Account KMeans,6,0.0,0.3801276630551188,0.02136543777459287,0.016982769093376305,0.7588117008764275,0.4239204934886909
Account DBSCAN,2,0.006260196532230527,0.4776643978603531,0.0005239817175396073,-0.008316978452865545,0.7626374465485645,0.8484848484848485
