protocol,feature_set,train_rows,validation_rows,test_rows,train_positive_rate,validation_positive_rate,test_positive_rate,best_params,validation_pr_auc,threshold,validation_f1_at_threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
time_based_60_20_20_strict_expanding_history,base,99106,33035,33036,0.023510181018303634,0.032995308006659604,0.05318440489163337,"{""class_weight"": null, ""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 180, ""max_leaf_nodes"": 15}",0.5385704619501901,0.20630412746772106,0.5293637846655791,0.9627376195665335,0.6394485683987274,0.6863972680705749,0.6620916826791107,0.9464477022238558,0.712663297409486,30599,680,551,1206
time_based_60_20_20_strict_expanding_history,strict_expanding_history,99106,33035,33036,0.023510181018303634,0.032995308006659604,0.05318440489163337,"{""class_weight"": null, ""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 15}",0.6868832690057777,0.26643290884094173,0.616822429906542,0.9701840416515317,0.7146829810901001,0.7313602731929425,0.7229254571026723,0.9795988707795045,0.8287357684324522,30766,513,472,1285
