fpr,tpr
0.0,0.0
0.0001458302952021833,0.0
0.0020207912335159684,0.1313586606567933
0.005562384116997563,0.2517707662588538
0.008103997833378472,0.3142305215711526
0.008124830732693069,0.3142305215711526
0.013395554259286265,0.38570508692852545
0.01779129601466636,0.4488087572440438
0.017853794712610154,0.4488087572440438
0.017895460511239348,0.4488087572440438
0.03968667319430845,0.6658081133290406
0.04654069706881107,0.7520927237604637
0.0471031853503052,0.7546683837733419
0.0471240182496198,0.7546683837733419
0.048915647590675196,0.7656149388280747
0.04947813587216933,0.7688345138441726
0.04966563196600071,0.7688345138441726
0.05574883856586321,0.7920154539600772
0.05649882294118873,0.8003863490019317
0.056686319035020104,0.8003863490019317
0.057102977021312055,0.8003863490019317
0.06329034811774754,0.824211204121056
0.06556113414303869,0.8293625241468127
0.0672485989875211,0.8377334191886671
0.07043603258265453,0.8428847392144238
0.07341513718464199,0.849967804249839
0.07514426782775359,0.8570508692852543
0.07656090498114623,0.8596265292981327
0.078540030416033,0.8634900193174501
0.07885252390575197,0.8634900193174501
0.08039415845503219,0.8634900193174501
0.0828732734734693,0.8634900193174501
0.0916855898835441,0.8654217643271088
0.09710214370533947,0.866709594333548
0.0986229453553051,0.866709594333548
0.10001874960938313,0.866709594333548
0.10633111810170622,0.8679974243399872
0.1072894314701777,0.8679974243399872
0.10837274223453679,0.8686413393432066
0.6783192016832983,0.9587894397939472
0.6966729859794588,0.9639407598197038
0.7231307681089977,0.9703799098518996
0.7262557030061874,0.9710238248551192
0.7530468115247599,0.9761751448808758
0.7606091539759589,0.9768190598840953
1.0,1.0
