method,n_clusters_ex_noise,noise_rate,silhouette,davies_bouldin,calinski_harabasz,highest_cluster_laundering_rate
MiniBatchKMeans,6,0.0,0.1448782171432113,1.754587075249523,1274.090176762622,0.9954441913439636
DBSCAN,5,0.0021666666666666666,0.32398683167360487,0.7671097062626381,1437.8024475886284,0.5769230769230769
