fpr,tpr
0.0,0.0
0.0,0.000643915003219575
0.0,0.0051513200257566
2.0832899314597614e-05,0.0051513200257566
2.0832899314597614e-05,0.005795235028976175
6.249869794379283e-05,0.005795235028976175
6.249869794379283e-05,0.0077269800386349004
8.333159725839046e-05,0.0077269800386349004
8.333159725839046e-05,0.009658725048293626
0.0001458302952021833,0.009658725048293626
0.0001458302952021833,0.012234385061171926
0.0001874960938313785,0.012234385061171926
0.0001874960938313785,0.014166130070830651
0.0002499947917751713,0.014166130070830651
0.0002499947917751713,0.015453960077269801
0.000270827691089769,0.015453960077269801
0.000270827691089769,0.0180296200901481
0.0002916605904043666,0.0180296200901481
0.0002916605904043666,0.018673535093367676
0.0003333263890335618,0.018673535093367676
0.0003333263890335618,0.023824855119124275
0.0003541592883481594,0.023824855119124275
0.0003541592883481594,0.026400515132002575
0.0003958250869773546,0.026400515132002575
0.0003958250869773546,0.02704443013522215
0.00043749088560654986,0.02704443013522215
0.00043749088560654986,0.028976175144880875
0.0004999895835503427,0.028976175144880875
0.0004999895835503427,0.030264005151320026
0.0005208224828649403,0.030264005151320026
0.0005208224828649403,0.03219575016097875
0.000541655382179538,0.03219575016097875
0.000541655382179538,0.03541532517707663
0.0005624882814941355,0.03541532517707663
0.0005624882814941355,0.03670315518351577
0.0006041540801233308,0.03670315518351577
0.0006041540801233308,0.037990985189954925
0.0006249869794379283,0.037990985189954925
0.0006249869794379283,0.038634900193174504
0.0006666527780671236,0.038634900193174504
0.0006666527780671236,0.039278815196394076
0.0006874856773817212,0.039278815196394076
0.0006874856773817212,0.03992273019961365
0.0007708172746401117,0.03992273019961365
0.0007708172746401117,0.04056664520283323
0.0008124830732693069,0.04056664520283323
0.0008124830732693069,0.04185447520927238
0.0009999791671006853,0.04185447520927238
0.0009999791671006853,0.043142305215711524
0.001020812066415283,0.043142305215711524
0.001020812066415283,0.0437862202189311
0.0011041436636736734,0.0437862202189311
0.0011041436636736734,0.044430135222150675
0.001124976562988271,0.044430135222150675
0.001124976562988271,0.04507405022537025
0.0011666423616174663,0.04507405022537025
0.0011666423616174663,0.04571796522858983
0.0012083081602466616,0.04571796522858983
0.0012083081602466616,0.0463618802318094
0.0012291410595612591,0.0463618802318094
0.0012291410595612591,0.04700579523502898
0.0012499739588758567,0.04700579523502898
0.0012499739588758567,0.04764971023824855
0.0013333055561342473,0.04764971023824855
0.0013333055561342473,0.04829362524146812
0.0013958042540780401,0.04829362524146812
0.0013958042540780401,0.049581455247907275
0.0014166371533926377,0.049581455247907275
0.0014166371533926377,0.050225370251126854
0.0014791358513364305,0.050225370251126854
0.0014791358513364305,0.051513200257566
0.0016041332472240162,0.051513200257566
0.0016041332472240162,0.05215711526078558
0.0016249661465386137,0.05215711526078558
0.0016249661465386137,0.05537669027688345
0.001729130643111602,0.05537669027688345
0.001729130643111602,0.05730843528654218
0.0017916293410553947,0.05730843528654218
0.0017916293410553947,0.05795235028976175
0.0018124622403699923,0.05795235028976175
0.0018124622403699923,0.05988409529942048
0.0018332951396845898,0.05988409529942048
0.0018332951396845898,0.06052801030264005
0.0018957938376283827,0.06052801030264005
0.0018957938376283827,0.061171925305859624
0.0019166267369429804,0.061171925305859624
0.0019166267369429804,0.062459755312298776
0.0020207912335159684,0.062459755312298776
0.0020207912335159684,0.06310367031551835
0.002083289931459761,0.06310367031551835
0.002083289931459761,0.0643915003219575
0.0021249557300889563,0.0643915003219575
0.0021249557300889563,0.06503541532517708
0.002166621528718152,0.06503541532517708
0.002166621528718152,0.06567933032839665
0.0024374492198079205,0.06567933032839665
0.0024374492198079205,0.06632324533161622
0.002479115018437116,0.06632324533161622
0.002479115018437116,0.0669671603348358
0.0026666111122684946,0.0669671603348358
0.0026666111122684946,0.06761107533805538
0.0027499427095268847,0.06761107533805538
0.0027499427095268847,0.06889890534449453
0.0027916085081560803,0.06889890534449453
0.0027916085081560803,0.0695428203477141
0.002895773004729068,0.0695428203477141
0.002895773004729068,0.07018673535093367
0.002916605904043666,0.07018673535093367
0.002916605904043666,0.07083065035415326
0.0029374388033582633,0.07083065035415326
0.0029374388033582633,0.07147456535737283
0.002979104601987459,0.07147456535737283
0.002979104601987459,0.07276239536381197
0.0030416032999312516,0.07276239536381197
0.0030416032999312516,0.07405022537025113
0.0030832690985604467,0.07405022537025113
0.0030832690985604467,0.0746941403734707
0.0031041019978750445,0.0746941403734707
0.0031041019978750445,0.07533805537669028
0.0031457677965042396,0.07533805537669028
0.0031457677965042396,0.07598197037990985
0.003395762588279411,0.07598197037990985
0.003395762588279411,0.07662588538312942
