kmeans_cluster,transactions,laundering,avg_amount,avg_sender_out_degree,laundering_rate,method,dbscan_cluster
0.0,1862,1019,2931715.2824132224,19.38936627282492,0.5472610096670247,kmeans_cluster,
1.0,860,407,221644901.5997093,4293.691860465116,0.47325581395348837,kmeans_cluster,
2.0,2552,1225,6714845.49213558,16.773902821316614,0.4800156739811912,kmeans_cluster,
3.0,3114,823,4196.672309262042,26.433847141939626,0.2642903018625562,kmeans_cluster,
4.0,878,874,1568881.3792027335,4.890660592255125,0.9954441913439636,kmeans_cluster,
5.0,2734,399,10638.621570668252,16.91587417702999,0.1459400146305779,kmeans_cluster,
,26,15,7584005843.009231,1680.2692307692307,0.5769230769230769,dbscan_cluster,-1.0
,11061,4355,1552309.0141297053,20.896483138956693,0.39372570292016995,dbscan_cluster,0.0
,478,219,356297.97610878665,5600.0,0.4581589958158996,dbscan_cluster,1.0
,280,138,125862.14203571429,3313.0,0.4928571428571429,dbscan_cluster,2.0
,44,20,1340688.71,562.0,0.45454545454545453,dbscan_cluster,3.0
,111,0,95523.85855855857,3.1621621621621623,0.0,dbscan_cluster,4.0
