precision,recall
0.03133954877507366,1.0
0.03494599459945995,1.0
0.03500349358757635,1.0
0.035234594790815865,1.0
0.03523779270284988,1.0
0.03524259065946535,1.0
0.03525699237195786,1.0
0.035493086504399494,1.0
0.03554507793367055,1.0
0.03555972797838482,1.0
0.03563234214390602,1.0
0.03564706422439517,1.0
0.03564870076209715,1.0
0.035659341920966224,1.0
0.035665893484601426,1.0
0.03566671259932938,1.0
0.0357225008050789,1.0
0.035752929530124086,1.0
0.03576033895182831,1.0
0.035843700233110995,1.0
0.03584452753542907,1.0
0.03585363038208473,1.0
0.03585528594186503,1.0
0.035856113779091245,1.0
0.035858597520145925,1.0
0.03585942551029833,1.0
0.03586273785331609,1.0
0.035863566034685816,1.0
0.03586522251218217,1.0
0.035872678554929316,1.0
0.0358784798429017,1.0
0.03589174697820611,1.0
0.035892576499953775,1.0
0.03589423565848472,1.0
0.03590004392149611,1.0
0.03590336377297422,1.0
0.035918310706108195,1.0
0.03591914145619391,1.0
0.035920803071656564,1.0
0.03600658459112935,1.0
0.036012429273722286,1.0
0.036014934718582595,1.0
0.03601576994434137,1.0
0.03601994665429665,1.0
0.03602412433310137,1.0
0.036036663185984454,1.0
0.03606176709624986,1.0
0.036063441933910784,1.0
0.03607265632258664,1.0
0.03610704238450629,1.0
0.03610872143039829,1.0
0.03611543917583312,1.0
0.036117119002767505,1.0
0.03611795897483604,1.0
0.03611879898597577,1.0
0.036123839873461884,1.0
0.03613308515588646,1.0
0.036133925870774096,1.0
0.03613476662478477,1.0
0.03613560741792121,1.0
0.03613728912158232,1.0
0.03614906543143782,1.0
0.03615832363213038,1.0
0.036159165521898066,1.0
0.03616253347304692,1.0
0.03616337555886736,1.0
0.03656957166741234,1.0
0.03657129400682915,1.0
0.0365799081380285,1.0
0.03658680236530261,1.0
0.0365876643264383,1.0
0.03658852632818942,1.0
0.03659111257716413,1.0
0.03659369919178115,1.0
0.03659801102889192,1.0
0.03659973604826546,1.0
0.036620448971892094,1.0
0.036622176107154646,1.0
0.0366230397358802,1.0
0.036623903405339116,1.0
0.03662476711553428,1.0
0.03662563086646856,1.0
0.03662735849056604,1.0
0.036640320868231685,1.0
0.03664291444481148,1.0
0.036644643699858426,1.0
0.03664637311812733,1.0
0.03664723788847724,1.0
0.03664983244442347,1.0
0.03673131504257332,1.0
0.036732183826485965,1.0
0.03673392151761005,1.0
0.03674261243996498,1.0
0.036743481758387354,1.0
0.03674435111794629,1.0
0.03676000662768954,1.0
0.03685946882491159,1.0
0.03686034368176208,1.0
0.036862968501507276,1.0
0.03686384352449677,1.0
0.03686559369510516,1.0
0.036876098209621504,1.0
0.03687872527368146,1.0
0.03687960104488245,1.0
0.03688135271207372,1.0
0.03694188729513071,1.0
0.03694540264065659,1.0
0.03694979776350226,1.0
0.036958591147072825,1.0
0.03696035032605074,1.0
0.03696210967250571,1.0
0.036963869186461655,1.0
0.036965628867942496,1.0
0.03697442978905766,1.0
0.03706355456910336,1.0
0.03706443914081146,1.0
0.03706532375474355,1.0
0.03717712397960405,1.0
0.0371780139806569,1.0
0.0371797941106057,1.0
0.0371833548819614,1.0
0.037184245181371964,1.0
0.03719047847119115,1.0
0.03719136911176569,1.0
0.037194041289457296,1.0
0.037194932100687375,1.0
0.03727885931011306,1.0
0.03728154407528327,1.0
0.03730662054386471,1.0
0.03730751675595167,1.0
0.037308413011098836,1.0
0.037309309309309306,1.0
0.03733801360805905,1.0
0.03733891132910175,1.0
0.03737935350326137,1.0
0.037380253213305736,1.0
0.03738385248664003,1.0
0.037385652383245066,1.0
0.03739105311311215,1.0
0.03742258849610834,1.0
0.0374279999035982,1.0
0.03743521754851151,1.0
0.037438827414961066,1.0
0.037442437977674374,1.0
0.03744334072716752,1.0
0.037447855127679584,1.0
0.037454177117499515,1.0
0.037456887195195486,1.0
0.037487628841093974,1.0
0.03748853377106165,1.0
0.0374903437620703,1.0
0.03749124882311759,1.0
0.03749305907631395,1.0
0.03751479575814672,1.0
0.03751570200019325,1.0
0.03756743027165631,1.0
0.037697834741237016,1.0
0.0377225582355656,1.0
0.037724390895620276,1.0
0.037728973324911326,1.0
0.03772988994436481,1.0
0.03773080660835763,1.0
0.03773172331689303,1.0
0.03779048546051831,1.0
0.03779232472683912,1.0
0.037793244427139105,1.0
0.037799683582816115,1.0
0.03780060364132022,1.0
0.03780520460575963,1.0
0.03780612493305419,1.0
0.03782822623861256,1.0
0.03782914768713614,1.0
0.037871582900480406,1.0
0.037874353721588136,1.0
0.037875277418725456,1.0
0.03787897265786971,1.0
0.03788174456044492,1.0
0.03790948591514915,1.0
0.03791041132674234,1.0
0.03792337183463163,1.0
0.037924297924297926,1.0
0.037934487896626685,1.0
0.037979017387689225,1.0
0.03798087505196997,1.0
0.037981803952259835,1.0
0.03798366188915521,1.0
0.03799388379204893,1.0
0.03800597131809505,1.0
0.03800690144636695,1.0
0.03800969210436145,1.0
0.03801155277070687,1.0
0.03802737579274713,1.0
0.03802923819085633,1.0
0.03803110077139708,1.0
0.03803482647988048,1.0
0.038035758021062946,1.0
0.038036689607876754,1.0
0.038038552918411836,1.0
0.038040416411512554,1.0
0.03804228008720574,1.0
0.038068390734158596,1.0
0.03806932392018434,1.0
0.03807025715196235,1.0
0.03807305712184359,1.0
0.03807679105575443,1.0
0.03811136469606616,1.0
0.03812071970347824,1.0
0.038122591256106245,1.0
0.03812352710133543,1.0
0.03815162383923746,1.0
0.038153498427672954,1.0
0.03817600786627335,1.0
0.03826536897868671,1.0
0.038266311847033316,1.0
0.03827102688582765,1.0
0.03827197003302282,1.0
0.03827668646636926,1.0
0.038277629892536726,1.0
0.038280460450097364,1.0
0.038306899188475865,1.0
0.03831256938448255,1.0
0.038404471042089126,1.0
0.03844154558281145,1.0
0.03844249715332442,1.0
0.0384520154501337,1.0
0.0384529675390596,1.0
0.038456776366292744,1.0
0.03845772869100094,1.0
0.0384586810628761,1.0
0.03846249102211655,1.0
0.038463443629879135,1.0
0.03846439628482972,1.0
0.03846534898697181,1.0
0.0384682073765822,1.0
0.03846916026752539,1.0
0.03847011320567762,1.0
0.03847106619104241,1.0
0.03847773841084215,1.0
0.03848059864215273,1.0
0.03848155214708725,1.0
0.03848250569927644,1.0
0.03848822800495663,1.0
0.03848918188802696,1.0
0.03849108979601953,1.0
0.03849204382094879,1.0
0.03849776896380763,1.0
0.0385130443408392,1.0
0.03851686507936508,1.0
0.03851782038244996,1.0
0.03851877573292326,1.0
0.03852355319623943,1.0
0.03852737602024362,1.0
0.03853311167903134,1.0
0.038534067788199095,1.0
0.03853502394481526,1.0
0.03853789269938955,1.0
0.03854363149012211,1.0
0.03854554480019856,1.0
0.038555114200595826,1.0
0.03860975064018099,1.0
0.038610710556411916,1.0
0.03861167052037493,1.0
0.038612630532073595,1.0
0.038613590591511475,1.0
0.03861455069869213,1.0
0.03861551085361912,1.0
0.038617431306726346,1.0
0.03861839160491371,1.0
0.03862031234457376,1.0
0.03862223327530465,1.0
0.03862319381233057,1.0
0.038680913596851725,1.0
0.03868284056093855,1.0
0.03872045477211529,1.0
0.03872335120309189,1.0
0.038724316776381405,1.0
0.0387252823978256,1.0
0.03872624806742806,1.0
0.03872721378519239,1.0
0.0387281795511222,1.0
0.038729145365221075,1.0
0.03873204309656823,1.0
0.038733975158377815,1.0
0.038737839860314295,1.0
0.038740738892907925,1.0
0.03874460494473966,1.0
0.03875040546947127,1.0
0.03875427345095201,1.0
0.03875717494384827,1.0
0.0387581422046969,1.0
0.038761044276943046,1.0
0.03876297923322684,1.0
0.038767817469232885,1.0
0.038769753101829896,1.0
0.03877072099061314,1.0
0.03877168892772438,1.0
0.038772656913167225,1.0
0.03877556115952161,1.0
0.03877846584099081,1.0
0.0387794341648563,1.0
0.03878330794396024,1.0
0.03878621378621379,1.0
0.03879202677723935,1.0
0.03879396482813749,1.0
0.03879493392620719,1.0
0.03880268845413887,1.0
0.03881141600439846,1.0
0.03881335599320204,1.0
0.03881529617595601,1.0
0.038816266340073485,1.0
0.0388201474815648,1.0
0.03882208834337425,1.0
0.03882402939926502,1.0
0.038825,1.0
0.03882597064926623,1.0
0.038828882888288827,1.0
0.03883179556422374,1.0
0.03883373759095796,1.0
0.038835679811948284,1.0
0.03883665099529859,1.0
0.038837622227223846,1.0
0.038838593507727705,1.0
0.038839564836813806,1.0
0.03884053621448579,1.0
0.03884247911560202,1.0
0.03884345063905355,1.0
0.03884636550102556,1.0
0.038847337218900865,1.0
0.03884830898539123,1.0
0.03884928080050031,1.0
0.0388648364573688,1.0
0.03886580909955453,1.0
0.03886678179042471,1.0
0.03886775452998298,1.0
0.038868727318233015,1.0
0.038870673040822964,1.0
0.03889890792505761,1.0
0.03890085667050749,1.0
0.03891352827682979,1.0
0.038914503357722764,1.0
0.0389154784874834,1.0
0.038917428893622354,1.0
0.038922305764411025,1.0
0.0389242568549802,1.0
0.03892523247361957,1.0
0.03893108721265448,1.0
0.03893303918373486,1.0
0.03893596750739608,1.0
0.03893694371317538,1.0
0.038938896271594414,1.0
0.038945731768482296,1.0
0.03895159267619764,1.0
0.038952569665655024,1.0
0.03895550092810916,1.0
0.038956478113633515,1.0
0.038957455348183824,1.0
0.038961364776718514,1.0
0.038962342256454,1.0
0.03896331978523759,1.0
0.03896918598815618,1.0
0.03902696454150227,1.0
0.03902892613907667,1.0
0.03902990701181201,1.0
0.03903677450167157,1.0
0.039037755768940724,1.0
0.03903873708554335,1.0
0.039053462757129204,1.0
0.03905542701941454,1.0
0.03905837378335555,1.0
0.039059356136820926,1.0
0.03906132099200161,1.0
0.039064268645453405,1.0
0.039065251295467125,1.0
0.03907999698029643,1.0
0.03908098042176254,1.0
0.03908196391272618,1.0
0.039084914682639554,1.0
0.03908589837163064,1.0
0.03908688211013792,1.0
0.03908786589816516,1.0
0.03908884973571608,1.0
0.03909376966645689,1.0
0.03909573798554993,1.0
0.039098690835850956,1.0
0.03911050669890198,1.0
0.03911149167653059,1.0
0.039113461780632165,1.0
0.039121344182180016,1.0
0.03913120165293421,1.0
0.03914205060994052,1.0
0.039146983942930605,1.0
0.03914994453967934,1.0
0.03915093150477727,1.0
0.03915981643048061,1.0
0.039163766580925,1.0
0.03917265733383781,1.0
0.03917364544445565,1.0
0.039175621815246454,1.0
0.03917661007542696,1.0
0.039178586745377025,1.0
0.03918847308789018,1.0
0.03919737506309944,1.0
0.03921222067920717,1.0
0.039213210786789215,1.0
0.039214200944372904,1.0
0.03921618140956037,1.0
0.03921717171717172,1.0
0.03921816207479987,1.0
0.03924888799029519,1.0
0.03924987995046377,1.0
0.03925384829259662,1.0
0.039256825075834174,1.0
0.039266750948166874,1.0
0.039267743811474375,1.0
0.03927370204587411,1.0
0.03927568852583394,1.0
0.03928463017302439,1.0
0.03928562394070476,1.0
0.03928661775866431,1.0
0.039287611626906825,1.0
0.039288605545436145,1.0
0.03929059353337044,1.0
0.03929357589251828,1.0
0.03929457011284854,1.0
0.03929755307573572,1.0
0.03929854749734298,1.0
0.039299541969279046,1.0
0.03930053649154773,1.0
0.039302525687098244,1.0
0.0393084944821302,1.0
0.03930948945756448,1.0
0.039310484483369615,1.0
0.039311479559549424,1.0
0.03932342440432482,1.0
0.039342351927851245,1.0
0.039343348618042714,1.0
0.03934434535873531,1.0
0.03934633899163922,1.0
0.03934733588385822,1.0
0.039349329819849496,1.0
0.03935232110277721,1.0
0.039356310187531676,1.0
0.03936229533127186,1.0
0.03936728434180841,1.0
0.03936828229568039,1.0
0.039369280300149564,1.0
0.03940024355591638,1.0
0.03940124318152988,1.0
0.03940424236273216,1.0
0.03940824198132359,1.0
0.03940924201284036,1.0
0.039413242646498994,1.0
0.03941524326793736,1.0
0.039481377907715776,1.0
0.039482381654548225,1.0
0.03948338545241909,1.0
0.03948639715230104,1.0
0.039487401154364464,1.0
0.03948840520748576,1.0
0.03949041346691756,1.0
0.03949242193062761,1.0
0.03949543500928257,1.0
0.03949744398382461,1.0
0.03949844854773895,1.0
0.039502467314442694,1.0
0.03951754497569913,1.0
0.039519556200218846,1.0
0.03955982372570497,1.0
