feature_set,n_features,threshold,training_seconds,accuracy,precision,recall,f1,roc_auc,pr_auc
All base+graph encoded features,60.0,0.9084676069107382,2.409670000022743,0.9780643338580135,0.6703216374269005,0.5904700579523503,0.6278671687778158,0.9761541040550065,0.7212469474182022
Top-5 mutual information features,5.0,0.8824861635196576,0.8913695000228472,0.9673285708519999,0.48150224215246634,0.553122987765615,0.5148336829487564,0.9623700557966216,0.568659263100426
Top-10 mutual information features,10.0,0.8993535828964463,0.9115115000167862,0.9725551923154538,0.5617402431222009,0.5653573728267869,0.5635430038510911,0.9689118142298843,0.6562002386805164
Top-20 mutual information features,20.0,0.9038690564050859,1.163963800005149,0.9755821931630141,0.614105123087159,0.5943335479716677,0.6040575916230366,0.9737831913326875,0.6986802335714485
All base features (pipeline result),,0.8984210063202859,,0.9666626306655366,0.4756995581737849,0.6239536381197682,0.53983286908078,0.9304073108157104,0.5556324909571677
All graph features (pipeline result),,0.9084676069107382,,0.9780643338580136,0.6703216374269005,0.5904700579523503,0.6278671687778158,0.9761541040550064,0.7212469474182022
