model,threshold,validation_f1,accuracy,precision,recall,f1,roc_auc,pr_auc,positive_precision,positive_recall,positive_f1
HistGradientBoosting + Graph Features,0.9084676069107382,0.6519499632082413,0.9780643338580135,0.6703216374269005,0.5904700579523503,0.6278671687778158,0.9761541040550065,0.7212469474182022,0.6703216374269005,0.5904700579523503,0.6278671687778158
Random Forest + Graph Features,0.7746516847930689,0.628391167192429,0.9709811518747226,0.5292919001528273,0.6690276883451385,0.5910125142207053,0.9720606740954756,0.6807381565147715,0.5292919001528273,0.6690276883451385,0.5910125142207053
HistGradientBoosting Base Features,0.8984210063202859,0.5574746873138773,0.9666626306655366,0.47569955817378495,0.6239536381197682,0.53983286908078,0.9304073108157104,0.5556324909571677,0.47569955817378495,0.6239536381197682,0.53983286908078
Random Forest Base Features,0.8015742187548849,0.556836902800659,0.9621019493885459,0.43315508021390375,0.6780424983902125,0.5286144578313253,0.9266964992532821,0.550175702218931,0.43315508021390375,0.6780424983902125,0.5286144578313253
Decision Tree,0.906286819746796,0.47837370242214533,0.9462606449529806,0.3397806004618938,0.7578879587894398,0.4692047040063783,0.906234708594891,0.4054155444041222,0.3397806004618938,0.7578879587894398,0.4692047040063783
Linear SVM,0.7149691013275997,0.4768339768339768,0.9501150260322073,0.3476963871395426,0.6754668383773342,0.4590809628008753,0.9147593418483327,0.3270546282886401,0.3476963871395426,0.6754668383773342,0.4590809628008753
Logistic Regression,0.8723061974024744,0.4720861900097943,0.9507607862130202,0.34991539763113366,0.6658081133290406,0.4587400177462289,0.9145515628544603,0.33785149338411274,0.34991539763113366,0.6658081133290406,0.4587400177462289
Dummy All-Legitimate,0.5,0.0,0.9686604512249264,0.0,0.0,0.0,0.5,0.03133954877507366,0.0,0.0,0.0
